course_order,course_title,course_overview,key_points,example_1_type,example_1_text,example_2_type,example_2_text,example_3_type,example_3_text,example_4_type,example_4_text,example_5_type,example_5_text
1,1. Reading Passage Answering Skills,"This unit teaches candidates how to answer comprehension questions from passages about electricity, energy, power systems, rural electrification, planning, health, education, and development.","Read the title, source, and first paragraph to identify the topic quickly. | Underline technical words such as generation, transmission, distribution, reliability, affordability, investment, demand, and rural electrification. | Read the question carefully and identify its focus word: what, why, how, who, when, or which factor. | Scan the passage for the matching idea, then read two or three lines before and after it. | Answer in one clear sentence unless the question asks for more detail. | Do not copy a long paragraph; select the relevant idea and rewrite it in your own words. | For “why” questions, include a reason. For “how” questions, explain the process or effect. | If the passage gives examples, use them briefly to support your answer.",Tip,Question focus: “Why is reliable electricity important in health services?”,Weak answer,It is important for health services.,Better answer,"Reliable electricity is important in health services because it allows clinics and hospitals to store vaccines, use medical equipment, and serve more patients safely.",Tip,Question focus: “How does electricity support education?”,Better answer,"Electricity supports education by providing lighting for study, powering computers and media devices, and improving students’ learning experience."
2,2. Core Grammar Patterns for Rewrite Questions,This unit covers the main sentence patterns commonly tested in rewrite questions. Candidates should keep the original meaning while changing the structure correctly.,"Keep the meaning unchanged when rewriting. | Check tense, subject-verb agreement, articles, and punctuation after rewriting. | Use linking expressions that match the relationship: addition, contrast, reason, result, purpose, comparison, or condition. | In rewrite questions, grammar accuracy is more important than using difficult words.",Passive voice,The ministry installed new transformers. → New transformers were installed by the ministry.,Reported speech,"He said, “Work carefully.” → He told me to work carefully.",Both...and,Ko Ko studies English. Su Su studies English. → Both Ko Ko and Su Su study English.,So...that,The cable is very heavy. We cannot lift it. → The cable is so heavy that we cannot lift it.,In spite of,"Although it was raining, they continued the survey. → In spite of the rain, they continued the survey."
3,3. Grammar Pattern Bank with More Examples,Use this pattern bank as a quick revision guide before answering the rewrite section.,"Active → Passive: object becomes subject; use correct form of be + past participle. | Direct → Indirect: change tense, pronouns, and time words when necessary. | Can / Could / May: use modals correctly after the subject; the base verb follows. | Too...to / Enough to: use them to express degree and ability. | Either...or / Neither...nor: the verb agrees with the nearer subject in formal usage. | As...as / Not as...as: use for equal or unequal comparison. | Because / Because of: use because + clause; because of + noun phrase. | If clauses: If + present, will + base verb for real future conditions. | Used to / Be used to / Be used for: do not confuse past habit, familiarity, and purpose. | To + infinitive: often shows purpose, plan, or result.",Active → Passive,The staff maintain the feeder lines regularly. → The feeder lines are maintained regularly by the staff.,Direct → Indirect,"The manager said, “The team has finished the report.” → The manager said that the team had finished the report.",Can,You can submit the report tomorrow.,Too...to,The load is too high to be supplied by one small transformer.,Enough to,The room is large enough to hold the training session.
4,"4. Articles: a, an, the",Articles are often tested in correction and rewrite questions. Correct article use makes sentences sound natural and precise.,"Use a before a singular countable noun beginning with a consonant sound: a meter, a feeder, a village. | Use an before a singular countable noun beginning with a vowel sound: an engineer, an operator, an hour. | Use the for something specific, previously mentioned, or unique in context: the ministry, the national grid, the project office. | Do not use an article before plural or uncountable nouns when speaking generally: Electricity is essential. Engineers need experience. | Use the when both writer and reader know which thing is meant: the report, the damaged line, the township hospital.",Example,He is an electrical engineer.,Example,The operator checked the control panel.,Example,A village clinic needs reliable electricity.,Example,Electricity is important for development.,Correction,He bought a equipment. ✗ → He bought equipment. / He bought a piece of equipment. ✓
5,5. Prepositions and Fixed Expressions,"Prepositions are small words, but they are tested frequently. Learn them in useful patterns instead of studying them one by one.","Use in for years, months, towns, countries, and enclosed places: in 2025, in June, in Mandalay, in the office. | Use on for days and dates: on Monday, on 15 July. | Use at for exact time and precise points: at 8:30 a.m., at the substation, at the meeting. | Use to for movement, direction, and connection: go to Nay Pyi Taw, connect to the grid. | Use for for purpose, duration, and benefit: used for irrigation, for two years, important for farmers. | Use from...to for range: from Yangon to Bago. | Use between for two items; among for more than two. | Common exam phrases: interested in, responsible for, satisfied with, depend on, increase in, reduction in, access to, related to.",Example,The officer arrived at the office at 9 a.m. on Monday.,Example,The village was connected to the grid in 2024.,Example,This pump is used for agricultural work.,Example,There is a close relationship between energy use and development.,Example,Consumers are satisfied with the new service.
6,6. Fill-in-the-Blank Strategy,"Fill-in-the-blank questions test vocabulary, grammar, collocation, and logical meaning. Many items in this exam come from formal or technical English.","Read the whole sentence before choosing a word. | Notice grammar clues such as article, noun, verb, adjective, adverb, singular/plural, and preposition. | Check whether the blank needs a content word (investment, service, demand) or a function word (in, of, because). | Use the surrounding words to test natural combinations: capital-intensive industry, reliable supply, financial resources, distribution system. | After filling the blank, read the sentence again to check both grammar and meaning.",Example,Power development is difficult because electric power industries are capital-intensive.,Example,The utility must provide reliable service to consumers.,Example,Distribution planners determine the location of substations.,Example,Importing oil is a drain on foreign exchange reserves.,Tip,"If the blank comes after “because”, a clause usually follows. If it comes after “because of”, a noun phrase follows."
7,7. Essay Writing Guide,"Essay questions require clear organization, relevant ideas, and correct grammar. Candidates do not need very difficult vocabulary; they need a clear structure and strong examples.","Write an introduction that states the main idea directly. | Use two or three body paragraphs. Each paragraph should develop one main point. | Use linking words such as firstly, moreover, in addition, therefore, finally. | Support ideas with electricity-related examples: health services, education, businesses, irrigation, communication, industry. | End with a conclusion that restates the main point in different words. | Keep within the word limit and avoid repeating the same sentence pattern many times.",Introduction model,Increased access to electricity plays an important role in national development because it improves both economic activities and people’s quality of life.,Body model,"Firstly, electricity supports businesses by extending working hours, reducing losses, and improving productivity.",Body model,"Moreover, it benefits social sectors such as health and education by powering clinics, classrooms, and communication systems.",Conclusion model,"For these reasons, reliable electricity should be expanded throughout the country.",Useful linkers,Firstly / Secondly / Moreover / In addition / Therefore / As a result / In conclusion
8,8. Formal Letter Writing Guide,"Letter questions usually require a formal format, polite tone, and clear purpose. Candidates should memorize the page layout and a few useful sentences.","Write the sender’s address at the top left or top right, depending on the format your exam practice uses. | Write the date clearly below the address. | Write the receiver’s designation and office if required. | Add a subject line when writing an official request or report. | Use a formal greeting: Dear Sir, Dear Sir/Madam, or Dear Director. | Paragraph 1: state why you are writing. | Paragraph 2: explain the problem or request with relevant details. | Paragraph 3: ask politely for action and close respectfully. | Use a formal closing: Yours faithfully, Yours sincerely, Respectfully yours.",Opening sentence,I am writing to request urgent repair work on the damaged distribution line in our township.,Detail sentence,"Due to the fault, several villages have been facing power interruptions during the evening peak period.",Request sentence,I would be grateful if the department could arrange maintenance work as soon as possible.,Closing sentence,Thank you for your attention to this matter.,Signature line,"Yours faithfully,
Aung Min
Assistant Engineer"
9,9. Formal Letter Format Pages,This page gives learners a page-like letter format they can memorize for exam use.,Write address first. | Add date clearly. | Include receiver information if required. | Use a subject line for official letters. | Start with a formal salutation. | State purpose in the first paragraph. | Give details in the second paragraph. | Make a polite request in the final paragraph. | Close with a formal ending and signature.,Layout item,Sender address → Date → Receiver → Subject → Salutation,Body pattern,Purpose paragraph → Detail paragraph → Request paragraph,Closing,"Yours faithfully, / Yours sincerely,",Sample subject,Subject: Request for replacement of damaged distribution poles,Sample opening,I am writing to request the replacement of several damaged distribution poles along the Myaing–Kamma feeder.
10,10. Quick Pattern Reference,Fast revision page for common sentence patterns.,Although + clause | In spite of + noun phrase | So...that | Too...to | Enough to | Not only...but also | Neither...nor | Either...or | As soon as | In order to,Pattern,"Although the weather was bad, the team continued the inspection.",Pattern,"In spite of the bad weather, the team continued the inspection.",Pattern,The conductor was too short to reach the next pole.,Pattern,The explanation is clear enough to understand.,Pattern,Electricity improves not only industry but also health services.
